name,address,fillials,staff_kolvo,equipment_cost,production_size,reg_date
ОАО «Минский тракторный завод»,г. Минск ул. Долгобродская 29,5,16000,4500000000,3800000000,1946-05-29
ОАО «Беларуськалий»,г. Солигорск ул. Коржа 5,3,20000,8200000000,6700000000,1963-11-12
ОАО «Гомсельмаш»,г. Гомель ул. Шоссейная 41,2,9500,2100000000,1750000000,1930-06-01
ОАО «БЕЛАЗ»,г. Жодино ул. Карла Маркса 12,4,11500,5600000000,4200000000,1948-11-06
ОАО «Нафтан»,г. Новополоцк ул. Янки Купалы 55,1,7800,9100000000,12300000000,1963-09-24
ОАО «Мозырский НПЗ»,г. Мозырь ул. Октябрьская 85,0,5400,7300000000,9800000000,1975-03-15
ОАО «Гродно Азот»,г. Гродно ул. Химиков 100,2,6200,3400000000,2950000000,1963-05-20
ОАО «Барановичское ПХБО»,г. Барановичи ул. Текстильная 16,0,3800,850000000,620000000,1951-08-07
ОАО «Витязь»,г. Витебск ул. Правды 1,1,2900,430000000,310000000,1976-04-18
УП «Завод полупроводниковых приборов»,г. Минск ул. Корженевского 12,0,1750,280000000,195000000,1959-10-30
